# Covariance matrix <beta_j1 beta_j2>
3.229510006796186334e-20 7.108876075018427768e-21 5.530645265324851320e-20 2.075713370871111714e-20 1.887518240850109219e-20 -3.835721093154939631e-21 -6.329917440868348794e-21 -2.854926286703734254e-20 1.367827257294959150e-21 -1.573106969089789423e-20 2.572004512712029010e-21
7.108876075018427768e-21 4.620231265939349662e-19 1.568144622302956052e-19 1.415305732718411175e-19 1.108038106434387174e-19 1.082959210479903838e-19 4.449154674675868134e-20 2.802516934738959943e-20 -2.753381695965370789e-20 -1.958014431016293630e-20 8.780099323448375518e-22
5.530645265324851320e-20 1.568144622302956052e-19 6.416965024128970904e-19 4.797202013336475113e-19 1.296063219368262829e-19 2.312688517171811502e-20 -1.536644689072548455e-20 5.293646041970309538e-20 6.902116289469307609e-21 1.328806573932708984e-20 3.728420266471295131e-20
2.075713370871111714e-20 1.415305732718411175e-19 4.797202013336475113e-19 1.366245629322590070e-18 5.232612134063081811e-19 5.291893153985594372e-20 -6.518478247816905298e-20 5.991713907333354236e-20 -3.309308711277406901e-20 1.366089445873068232e-20 -2.074317262238850646e-20
1.887518240850109219e-20 1.108038106434387174e-19 1.296063219368262829e-19 5.232612134063081811e-19 1.823158320666553183e-18 5.506408461925659725e-19 -1.358478655559634960e-19 -1.558703421567911638e-20 -3.067952462090275653e-20 -6.195387029536963207e-21 -3.955767190149796042e-20
-3.835721093154939631e-21 1.082959210479903838e-19 2.312688517171811502e-20 5.291893153985594372e-20 5.506408461925659725e-19 2.507592483059554346e-18 6.089396154344254886e-19 -6.822411452242704352e-20 1.666547528472566339e-22 1.483600860876054522e-19 -1.629245559680771920e-20
-6.329917440868348794e-21 4.449154674675868134e-20 -1.536644689072548455e-20 -6.518478247816905298e-20 -1.358478655559634960e-19 6.089396154344254886e-19 3.122387777843432917e-18 6.614578178728931958e-19 1.555167532894108146e-20 7.357025944910979368e-20 1.499943785704838811e-19
-2.854926286703734254e-20 2.802516934738959943e-20 5.293646041970309538e-20 5.991713907333354236e-20 -1.558703421567911638e-20 -6.822411452242704352e-20 6.614578178728931958e-19 3.734054390275377538e-18 6.021447261830539513e-19 -2.955033341510719104e-20 -9.348812802542209802e-20
1.367827257294959150e-21 -2.753381695965370789e-20 6.902116289469307609e-21 -3.309308711277406901e-20 -3.067952462090275653e-20 1.666547528472566339e-22 1.555167532894108146e-20 6.021447261830539513e-19 3.895418953826765642e-18 8.590989269799780886e-19 8.323044701301221468e-20
-1.573106969089789423e-20 -1.958014431016293630e-20 1.328806573932708984e-20 1.366089445873068232e-20 -6.195387029536963207e-21 1.483600860876054522e-19 7.357025944910979368e-20 -2.955033341510719104e-20 8.590989269799780886e-19 4.197441949325569181e-18 4.312962318710158115e-19
2.572004512712029010e-21 8.780099323448375518e-22 3.728420266471295131e-20 -2.074317262238850646e-20 -3.955767190149796042e-20 -1.629245559680771920e-20 1.499943785704838811e-19 -9.348812802542209802e-20 8.323044701301221468e-20 4.312962318710158115e-19 1.147998899429614521e-18
