 L        TxT           TxW1          TxW2          TxW3          TxW4          TxW5          TxW6          TxW7          TxW8          TxW9         TxW10         W1xW1         W1xW2         W1xW3         W1xW4         W1xW5         W1xW6         W1xW7         W1xW8         W1xW9         W1xW10        W2xW2         W2xW3         W2xW4         W2xW5         W2xW6         W2xW7         W2xW8         W2xW9         W2xW10        W3xW3         W3xW4         W3xW5         W3xW6         W3xW7         W3xW8         W3xW9         W3xW10        W4xW4         W4xW5         W4xW6         W4xW7         W4xW8         W4xW9         W4xW10        W5xW5         W5xW6         W5xW7         W5xW8         W5xW9         W5xW10        W6xW6         W6xW7         W6xW8         W6xW9         W6xW10        W7xW7         W7xW8         W7xW9         W7xW10        W8xW8         W8xW9         W8xW10        W9xW9         W9xW10       W10xW10      
10    6.407416e-12  2.070758e-09  1.414543e-09  1.091357e-09  8.737752e-10  7.123424e-10  5.848430e-10  4.787037e-10  3.853519e-10  2.986014e-10  2.018123e-10  2.936139e-05  7.071894e-06  9.387741e-07  4.959351e-08 -1.015897e-08 -4.050512e-09 -1.028768e-09 -2.564358e-10 -5.744381e-11 -3.354143e-12  1.451229e-05  6.920193e-06  1.578526e-06  1.388346e-07 -2.848286e-08 -1.377690e-08 -3.318077e-09 -6.742518e-10 -1.227251e-10  9.468156e-06  5.413104e-06  1.533520e-06  1.462812e-07 -4.255029e-08 -1.789062e-08 -3.403514e-09 -4.370415e-10  6.829185e-06  4.191031e-06  1.249183e-06  8.467506e-08 -4.921699e-08 -1.346358e-08 -1.414035e-09  5.189312e-06  3.241809e-06  8.888444e-07 -1.934221e-10 -3.932445e-08 -4.482348e-09  4.053890e-06  2.453743e-06  5.059199e-07 -5.461230e-08 -1.374419e-08  3.186997e-06  1.747150e-06  1.600122e-07 -3.556869e-08  2.470809e-06  1.047327e-06 -3.049282e-08  1.785107e-06  3.490775e-07  8.212334e-07
11    5.347458e-12  1.750102e-09  1.231971e-09  9.573311e-10  7.697627e-10  6.296848e-10  5.185324e-10  4.254270e-10  3.428660e-10  2.658102e-10  1.798684e-10  2.956263e-05  7.355316e-06  1.019560e-06  6.912666e-08 -5.500871e-09 -2.844041e-09 -6.834990e-10 -1.581751e-10 -3.035447e-11 -8.698628e-12  1.502771e-05  7.238082e-06  1.709626e-06  1.820761e-07 -1.583259e-08 -1.026907e-08 -2.395112e-09 -4.358274e-10 -5.426476e-11  9.839400e-06  5.668163e-06  1.657925e-06  1.933871e-07 -2.777481e-08 -1.388587e-08 -2.478279e-09 -2.725695e-10  7.104441e-06  4.390050e-06  1.353024e-06  1.251807e-07 -3.702153e-08 -1.058765e-08 -9.762327e-10  5.398832e-06  3.396330e-06  9.696033e-07  2.932606e-08 -3.185292e-08 -3.385775e-09  4.215508e-06  2.572083e-06  5.637123e-07 -3.738008e-08 -1.117782e-08  3.311436e-06  1.834724e-06  1.954018e-07 -2.974687e-08  2.564826e-06  1.106625e-06 -1.717207e-08  1.852281e-06  3.775293e-07  8.561205e-07
12    4.549771e-12  1.491710e-09  1.080972e-09  8.458868e-10  6.829658e-10  5.605355e-10  4.629238e-10  3.806873e-10  3.073402e-10  2.386609e-10  1.617882e-10  2.957980e-05  7.588330e-06  1.087497e-06  8.495536e-08 -2.023071e-09 -2.038498e-09 -4.771345e-10 -1.040671e-10 -2.408053e-11 -1.444582e-11  1.547509e-05  7.520085e-06  1.825332e-06  2.189311e-07 -5.779690e-09 -7.730841e-09 -1.772268e-09 -2.922949e-10 -2.466631e-11  1.017648e-05  5.901418e-06  1.770699e-06  2.347522e-07 -1.562928e-08 -1.091712e-08 -1.878269e-09 -1.745570e-10  7.359921e-06  4.575352e-06  1.448752e-06  1.613652e-07 -2.689150e-08 -8.518136e-09 -7.046394e-10  5.596190e-06  3.542070e-06  1.044875e-06  5.584128e-08 -2.577545e-08 -2.651891e-09  4.369488e-06  2.684784e-06  6.178660e-07 -2.206272e-08 -9.234695e-09  3.431087e-06  1.918718e-06  2.285014e-07 -2.479553e-08  2.655949e-06  1.163762e-06 -4.947124e-09  1.917897e-06  4.049044e-07  8.903742e-07
13    3.927704e-12  1.281481e-09  9.552871e-10  7.532110e-10  6.109116e-10  5.031211e-10  4.165722e-10  3.430939e-10  2.772486e-10  2.156722e-10  1.466509e-10  2.945701e-05  7.780190e-06  1.146020e-06  9.845978e-08  7.908365e-10 -1.454227e-09 -3.421604e-10 -5.860688e-11 -1.104388e-12  5.801544e-12  1.586287e-05  7.771435e-06  1.929109e-06  2.515660e-07  2.803673e-09 -5.727156e-09 -1.351663e-09 -2.215948e-10 -1.617230e-11  1.048310e-05  6.115588e-06  1.873978e-06  2.720464e-07 -4.993998e-09 -8.442681e-09 -1.449569e-09 -1.369334e-10  7.597598e-06  4.748434e-06  1.537593e-06  1.943212e-07 -1.792810e-08 -6.772731e-09 -5.378749e-10  5.782485e-06  3.679878e-06  1.115394e-06  8.009105e-08 -2.041543e-08 -2.070298e-09  4.516481e-06  2.792385e-06  6.688761e-07 -8.141101e-09 -7.563798e-09  3.546382e-06  1.999503e-06  2.596345e-07 -2.039514e-08  2.744460e-06  1.218958e-06  6.380393e-09  1.982095e-06  4.313224e-07  9.240644e-07
14    3.433197e-12  1.107838e-09  8.489616e-10  6.747824e-10  5.500793e-10  4.547043e-10  3.774615e-10  3.113152e-10  2.517235e-10  1.960545e-10  1.336184e-10  2.920589e-05  7.930467e-06  1.194831e-06  1.095700e-07  2.980895e-09 -1.036966e-09 -2.529152e-10 -3.078778e-11  1.148870e-11  1.900176e-11  1.618909e-05  7.990646e-06  2.020180e-06  2.795604e-07  9.749967e-09 -4.244522e-09 -1.059000e-09 -1.713314e-10 -1.353906e-11  1.075722e-05  6.309314e-06  1.967133e-06  3.048457e-07  3.801090e-09 -6.596338e-09 -1.154241e-09 -1.088395e-10  7.815732e-06  4.908137e-06  1.619050e-06  2.237198e-07 -1.046230e-08 -5.488654e-09 -4.328538e-10  5.956235e-06  3.808742e-06  1.180762e-06  1.018542e-07 -1.601949e-08 -1.682933e-09  4.655210e-06  2.894039e-06  7.164842e-07  4.263298e-09 -6.304673e-09  3.656278e-06  2.076452e-06  2.886985e-07 -1.666240e-08  2.829558e-06  1.271815e-06  1.675567e-08  2.044287e-06  4.566024e-07  9.568888e-07
15    3.030153e-12  9.633401e-10  7.582661e-10  6.075559e-10  4.977881e-10  4.129473e-10  3.436347e-10  2.838640e-10  2.298461e-10  1.793595e-10  1.224539e-10  2.885911e-05  8.046364e-06  1.236359e-06  1.191679e-07  4.830406e-09 -7.150806e-10 -2.073309e-10 -3.647852e-11 -8.716168e-12 -4.333091e-12  1.646120e-05  8.182148e-06  2.101221e-06  3.044600e-07  1.582625e-08 -2.994634e-09 -8.242002e-10 -1.285079e-10 -8.562972e-12  1.100219e-05  6.484994e-06  2.051954e-06  3.344776e-07  1.158076e-08 -5.022759e-09 -9.131853e-10 -8.392793e-11  8.016189e-06  5.055889e-06  1.694264e-06  2.505030e-07 -3.831257e-09 -4.382337e-09 -3.480388e-10  6.118582e-06  3.929545e-06  1.241678e-06  1.217502e-07 -1.211192e-08 -1.353473e-09  4.786382e-06  2.990280e-06  7.611105e-07  1.557764e-08 -5.197482e-09  3.761204e-06  2.149892e-06  3.159739e-07 -1.331307e-08  2.911525e-06  1.322554e-06  2.637793e-08  2.104661e-06  4.808658e-07  9.889242e-07
16    2.702793e-12  8.420578e-10  6.801079e-10  5.491861e-10  4.520465e-10  3.761571e-10  3.136427e-10  2.594577e-10  2.104869e-10  1.647289e-10  1.127591e-10  2.842881e-05  8.128896e-06  1.270699e-06  1.272753e-07  6.372794e-09 -4.470384e-10 -1.622043e-10 -3.351828e-11 -1.469850e-11 -1.213909e-11  1.667971e-05  8.345892e-06  2.172145e-06  3.261801e-07  2.099103e-08 -1.975063e-09 -6.399652e-10 -9.396817e-11 -5.010609e-12  1.121752e-05  6.642258e-06  2.128305e-06  3.608544e-07  1.827044e-08 -3.749249e-09 -7.220753e-10 -6.133255e-11  8.198306e-06  5.191263e-06  1.763118e-06  2.746114e-07  1.873748e-09 -3.497703e-09 -2.765085e-10  6.268889e-06  4.041882e-06  1.298046e-06  1.397266e-07 -8.789956e-09 -1.092745e-09  4.909413e-06  3.080736e-06  8.026715e-07  2.574550e-08 -4.288484e-09  3.860625e-06  2.219499e-06  3.414159e-07 -1.038641e-08  2.989898e-06  1.370956e-06  3.524457e-08  2.162880e-06  5.040391e-07  1.020001e-06
17    2.433346e-12  7.394803e-10  6.122808e-10  4.982217e-10  4.118756e-10  3.436934e-10  2.871190e-10  2.378977e-10  1.934472e-10  1.518767e-10  1.042044e-10  2.793343e-05  8.181528e-06  1.298707e-06  1.341273e-07  7.667975e-09 -2.193091e-10 -1.138317e-10 -1.834873e-11 -4.011250e-12 -1.662757e-12  1.684856e-05  8.483931e-06  2.233971e-06  3.451773e-07  2.540984e-08 -1.140517e-09 -4.975810e-10 -6.762913e-11 -3.220530e-12  1.140479e-05  6.782158e-06  2.196919e-06  3.844179e-07  2.407644e-08 -2.711656e-09 -5.743848e-10 -4.280365e-11  8.362803e-06  5.314822e-06  1.826109e-06  2.964092e-07  6.835429e-09 -2.790768e-09 -2.191873e-10  6.407504e-06  4.146071e-06  1.350205e-06  1.560538e-07 -5.936643e-09 -8.902846e-10  5.024472e-06  3.165584e-06  8.413928e-07  3.493834e-08 -3.536507e-09  3.954600e-06  2.285357e-06  3.651647e-07 -7.801830e-09  3.064655e-06  1.417051e-06  4.344618e-08  2.218895e-06  5.261633e-07  1.050105e-06
18    2.206388e-12  6.521703e-10  5.530938e-10  4.535547e-10  3.765588e-10  3.151106e-10  2.638205e-10  2.190662e-10  1.786202e-10  1.406324e-10  9.657814e-11  2.738904e-05  8.207805e-06  1.321257e-06  1.399592e-07  8.769905e-09 -2.876479e-11 -7.125548e-11 -9.907403e-13  1.101917e-11  1.350424e-11  1.697209e-05  8.598537e-06  2.287773e-06  3.619278e-07  2.926312e-08 -4.400155e-10 -3.872561e-10 -4.872539e-11 -2.398465e-12  1.156591e-05  6.905965e-06  2.258576e-06  4.056182e-07  2.921690e-08 -1.834906e-09 -4.604209e-10 -2.965336e-11  8.510697e-06  5.427304e-06  1.883769e-06  3.162546e-07  1.124620e-08 -2.202988e-09 -1.754701e-10  6.535008e-06  4.242566e-06  1.398521e-06  1.709945e-07 -3.420867e-09 -7.281565e-10  5.131905e-06  3.245112e-06  8.775207e-07  4.332545e-08 -2.889888e-09  4.043333e-06  2.347637e-06  3.873718e-07 -5.478813e-09  3.135901e-06  1.460931e-06  5.106711e-08  2.272741e-06  5.472955e-07  1.079257e-06
19    2.015090e-12  5.773659e-10  5.010974e-10  4.141422e-10  3.453517e-10  2.898696e-10  2.432999e-10  2.025554e-10  1.656441e-10  1.307170e-10  8.980215e-11  2.680598e-05  8.209448e-06  1.338609e-06  1.448152e-07  9.679883e-09  1.119739e-10 -5.275191e-11 -1.565765e-12  8.148622e-12  9.631909e-12  1.705217e-05  8.690391e-06  2.333765e-06  3.765053e-07  3.258113e-08  1.407056e-10 -3.016919e-10 -3.583119e-11 -1.970086e-12  1.170133e-05  7.013871e-06  2.313378e-06  4.244953e-07  3.370748e-08 -1.103278e-09 -3.721505e-10 -2.091065e-11  8.642011e-06  5.528706e-06  1.936129e-06  3.341655e-07  1.511211e-08 -1.722254e-09 -1.418011e-10  6.651270e-06  4.331282e-06  1.443001e-06  1.845607e-07 -1.243254e-09 -6.006792e-10  5.231535e-06  3.319219e-06  9.110640e-07  5.090967e-08 -2.352111e-09  4.126644e-06  2.406252e-06  4.080479e-07 -3.429903e-09  3.203465e-06  1.502527e-06  5.810189e-08  2.324263e-06  5.673977e-07  1.107374e-06
