# L TxT TxW1 TxW2 TxW3 W1xW1 W1xW2 W1xW3 W2xW2 W2xW3 W3xW3
1.200000000000000000e+01 4.549772304765202549e-12 1.106985061726407040e-09 5.204211789820402415e-10 2.615153984035177650e-10 8.774105537280142231e-06 7.870474244580908988e-07 -3.244341754209691840e-09 3.385767595484373382e-06 3.161090414400889959e-07 1.129777290731812285e-06
1.300000000000000000e+01 3.927704272959251684e-12 9.676295543663561590e-10 4.673973472987308075e-10 2.362302599158177155e-10 8.916025856376614184e-06 8.299940565454619329e-07 -2.382554789330358256e-09 3.517224076895095775e-06 3.406323419352364686e-07 1.178384232504105511e-06
1.400000000000000000e+01 3.433197861232473676e-12 8.512037267981974549e-10 4.226589796808273686e-10 2.146952095162912023e-10 9.018627987620957652e-06 8.683816644701869290e-07 -1.718606653864497546e-09 3.639740825246475399e-06 3.632630784088623075e-07 1.224925226121582836e-06
1.500000000000000000e+01 3.030154001032472719e-12 7.530294339415382405e-10 3.840613323826067406e-10 1.962601050754469161e-10 9.089516312905192614e-06 9.031860112146586484e-07 -1.156594827181341369e-09 3.754262883003930582e-06 3.844196268599782217e-07 1.269623271326292672e-06
1.600000000000000000e+01 2.702793839958871749e-12 6.693791208880353877e-10 3.500036503852450046e-10 1.800371495018218187e-10 9.130342045587986989e-06 9.343390379204682039e-07 -6.872855588921694989e-10 3.860407252273954987e-06 4.040140201230283595e-07 1.312274833497898241e-06
1.700000000000000000e+01 2.433347264135267774e-12 5.975918569807724779e-10 3.199550244603732339e-10 1.657548507978386465e-10 9.145013875491872182e-06 9.621747461894943496e-07 -2.904633578276632630e-10 3.958522427726374397e-06 4.221922751254528235e-07 1.352917568993805532e-06
1.800000000000000000e+01 2.206388540962749515e-12 5.356391887394589820e-10 2.935481214116861668e-10 1.532510951488093329e-10 9.137284898073608664e-06 9.870547541648002400e-07 5.165227777419342583e-11 4.049088813959519649e-06 4.391166017117443510e-07 1.391640392913177464e-06
1.900000000000000000e+01 2.015091125877789579e-12 4.818107685305196712e-10 2.702629071771068237e-10 1.422539469318146333e-10 9.109089292272718637e-06 1.009021314826245085e-06 3.357028873727346739e-10 4.132040259299917453e-06 4.547817027511337099e-07 1.428366319971294440e-06
2.000000000000000000e+01 1.849248927471869930e-12 4.347515203656370659e-10 2.496179647164316240e-10 1.324896353467612234e-10 9.062324853552516081e-06 1.028166772331425905e-06 5.644789040826069470e-10 4.207460923022000592e-06 4.692100151199040308e-07 1.463073475876075421e-06
2.100000000000000000e+01 1.705671968549276695e-12 3.934300573856231029e-10 2.311665687514080745e-10 1.236394720179565187e-10 8.999891208616619113e-06 1.044789032843164293e-06 7.667075861599273810e-10 4.275772852239379969e-06 4.825329499993023899e-07 1.495853472794436581e-06
2.200000000000000000e+01 1.580561602588251567e-12 3.570128406009419859e-10 2.145478911353361080e-10 1.154866018125812779e-10 8.924290326504996914e-06 1.059148363218866057e-06 9.591683437686540571e-10 4.337402415385274783e-06 4.948659092516797663e-07 1.526803523549539420e-06
2.300000000000000000e+01 1.470273765824792398e-12 3.247830034156618738e-10 1.994981223221102803e-10 1.080288937209017347e-10 8.837184984498468320e-06 1.071332925602164955e-06 1.120351992315429223e-09 4.392544784107474625e-06 5.062405456879683427e-07 1.555947245540838761e-06
2.400000000000000000e+01 1.372955916088334237e-12 2.961534028670522099e-10 1.858136359899555018e-10 1.012724719252158110e-10 8.740000450003699743e-06 1.081432567995477599e-06 1.239526151797539129e-09 4.441407670062000723e-06 5.166866713210639185e-07 1.583315225809826187e-06
2.500000000000000000e+01 1.286801565633998543e-12 2.706653292528786186e-10 1.733496033555135529e-10 9.515035750462420322e-11 8.634344858010370598e-06 1.089611988586516727e-06 1.351750256113961452e-09 4.484244957095041027e-06 5.262589753149545798e-07 1.608951051162545588e-06
2.600000000000000000e+01 1.209566292897869417e-12 2.479229497872082708e-10 1.619813503850310004e-10 8.958481378913261340e-11 8.521659279998063436e-06 1.096026884250690069e-06 1.478521086218842725e-09 4.521339923929327596e-06 5.350153357516548149e-07 1.632912011492528395e-06
2.700000000000000000e+01 1.140484135622724877e-12 2.275294042288896192e-10 1.515810213700135233e-10 8.449130144741414020e-11 8.403265171169219870e-06 1.100780788079310964e-06 1.584809341464258976e-09 4.552988770004158925e-06 5.430099784177611125e-07 1.655262045928123561e-06
