#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
    25   0.131501E-09   0.222682E-12   0.514734E-09   0.119371E-07   0.222682E-12   0.151232E-14  -0.360583E-12   0.164711E-11   0.514734E-09  -0.360583E-12   0.136378E-06   0.264836E-05   0.119371E-07   0.164711E-11   0.264836E-05   0.124651E-03
    26   0.133528E-09   0.230508E-12   0.500614E-09   0.120346E-07   0.230508E-12   0.173596E-14  -0.405452E-12   0.164526E-11   0.500614E-09  -0.405452E-12   0.137020E-06   0.277316E-05   0.120346E-07   0.164526E-11   0.277316E-05   0.135872E-03
    27   0.135615E-09   0.237624E-12   0.486906E-09   0.121166E-07   0.237624E-12   0.198141E-14  -0.424063E-12   0.146625E-11   0.486906E-09  -0.424063E-12   0.137565E-06   0.289593E-05   0.121166E-07   0.146625E-11   0.289593E-05   0.147488E-03
    28   0.137743E-09   0.243420E-12   0.473896E-09   0.121829E-07   0.243420E-12   0.224793E-14  -0.394326E-12   0.127693E-11   0.473896E-09  -0.394326E-12   0.138020E-06   0.301647E-05   0.121829E-07   0.127693E-11   0.301647E-05   0.159479E-03
    29   0.139896E-09   0.248583E-12   0.460894E-09   0.122358E-07   0.248583E-12   0.253908E-14  -0.319485E-12   0.116157E-11   0.460894E-09  -0.319485E-12   0.138392E-06   0.313462E-05   0.122358E-07   0.116157E-11   0.313462E-05   0.171822E-03
    30   0.142106E-09   0.252212E-12   0.448946E-09   0.122778E-07   0.252212E-12   0.285872E-14  -0.233642E-12   0.111637E-11   0.448946E-09  -0.233642E-12   0.138686E-06   0.325029E-05   0.122778E-07   0.111637E-11   0.325029E-05   0.184497E-03
    31   0.144287E-09   0.255751E-12   0.437149E-09   0.123051E-07   0.255751E-12   0.320644E-14  -0.182352E-12   0.110258E-11   0.437149E-09  -0.182352E-12   0.138880E-06   0.336262E-05   0.123051E-07   0.110258E-11   0.336262E-05   0.197443E-03
    32   0.146552E-09   0.258499E-12   0.426154E-09   0.123194E-07   0.258499E-12   0.358439E-14  -0.197285E-12   0.109138E-11   0.426154E-09  -0.197285E-12   0.139022E-06   0.347253E-05   0.123194E-07   0.109138E-11   0.347253E-05   0.210693E-03
    33   0.148828E-09   0.260243E-12   0.415816E-09   0.123213E-07   0.260243E-12   0.398710E-14  -0.272697E-12   0.107261E-11   0.415816E-09  -0.272697E-12   0.139102E-06   0.357955E-05   0.123213E-07   0.107261E-11   0.357955E-05   0.224206E-03
    34   0.151114E-09   0.261128E-12   0.405716E-09   0.123163E-07   0.261128E-12   0.441786E-14  -0.373310E-12   0.104821E-11   0.405716E-09  -0.373310E-12   0.139125E-06   0.368364E-05   0.123163E-07   0.104821E-11   0.368364E-05   0.237960E-03
