4.122412357852038703e-10 2.602469570691638546e-10 2.641790081010669516e-10 7.012673458575916600e-10 4.631059813465030027e-10 1.072113956067436123e-09 3.979243843921380953e-09 2.931665375917900244e-09 1.068556005651747565e-09 1.321531581817885002e-09 -1.687679863659091502e-10 -1.716538647834026049e-09 -1.833625845504458582e-10
5.439702002034316258e-11 -5.769517864758403962e-10 -3.346508432478033860e-10 1.982382560537400800e-09 2.941159361792516774e-09 4.286684508843419480e-09 1.537661176200681822e-09 3.764188986736185034e-09 2.778952794816975066e-09 4.678481604446330973e-09 1.918369490839083604e-09 7.439596409708481665e-10 9.618360228988005996e-10
-1.679616578462402862e-12 6.297105421938450254e-10 1.091722113947934044e-09 2.760126790612031381e-09 3.230396915736313933e-09 3.009109444745563041e-09 -8.720113596568574922e-10 5.108773298972838699e-09 3.750564930350005514e-09 2.550242904014063255e-09 1.389170099971083733e-09 2.006257840810673346e-09 -5.684181191487018903e-10
9.136715945098810955e-11 -2.583304282922264148e-11 1.819057380579452463e-09 2.758208915863447061e-09 1.158438837125980799e-09 2.158969867854495872e-10 2.738928316531168609e-09 4.395418029919330264e-09 3.933675531235566452e-09 3.474998410396456753e-09 -2.142130654852742047e-09 2.119012592464652737e-09 -2.340080529318391111e-10
1.230437626059299446e-10 -3.448044592589122458e-10 4.995326061623519776e-11 2.428417888468554490e-10 1.109566743927695995e-09 1.499649447688331403e-09 3.334976172858304921e-09 9.571776249655360420e-09 1.983428451048481171e-09 2.014658201500610677e-09 -2.528166092561086960e-09 -1.564611833682560443e-09 9.596204237729399846e-10
2.456909248973376232e-10 -7.018185680974982409e-10 3.258817210333817217e-10 1.653992349023333083e-09 4.361203982472016172e-09 2.053961006443629559e-09 2.199660921546198049e-09 5.790891700327344910e-09 2.535600424336262359e-09 2.461324061410045291e-10 3.966778819652705265e-09 -2.439989335807755520e-09 6.204285803336338693e-10
-3.825708002931218544e-11 -3.867606636435004454e-10 -5.725821857395382576e-10 -1.884488535001567054e-10 2.512466957360460268e-09 1.653993839443955272e-09 2.293135122485023419e-09 4.936426759028801994e-09 4.653639000663982594e-09 2.133898997276155801e-09 2.539750998105736908e-09 5.950358698952987366e-10 1.524542673065947105e-09
1.343865992748043618e-10 9.120618352934226588e-11 1.286945672005163283e-09 3.237061155698522970e-11 2.358955610483953573e-09 5.742933525690441480e-09 1.408075878933586979e-09 1.538288002095503318e-09 2.720379534022579984e-09 2.500392317787564295e-09 -5.797682971197520722e-10 1.851210086141641518e-09 5.245905047602226537e-12
6.052973473403337240e-12 6.806274036914081042e-10 6.629930007383575734e-10 1.939025025333087837e-10 2.686106787316738085e-09 2.454919840876488175e-09 3.507128794223191145e-09 4.695009459243824133e-09 2.261124405249673531e-09 2.816474992606824538e-09 -1.689333477623204033e-09 1.996763044159137260e-09 -5.968887648475334210e-10
-8.427850223071144875e-12 9.314100960680007045e-10 6.915124358774102394e-10 1.649728047604431436e-09 2.346021705437222212e-09 1.105898232201549111e-09 2.482170473888911219e-09 1.666970320408929415e-09 3.943014876375361804e-09 1.402256658706802875e-09 -6.488700162464869628e-10 -1.218182049340098114e-09 -1.316937663911885102e-09
5.853130093850112336e-11 2.871446672165813614e-10 2.032234320072414217e-09 1.267020148913608157e-09 2.566316649816187287e-09 1.784494786379778437e-09 1.664924187558225829e-09 4.021520162135509310e-09 2.256309639899603111e-09 6.128155810987590175e-09 1.899957005834008491e-09 -2.655142127108384068e-10 -3.515049229937545339e-10
-1.827532449596866046e-11 1.103429635516970808e-10 9.007085658776815424e-10 1.005921553067514779e-09 1.240787722967952565e-09 3.660546629980511439e-09 4.560375795835856814e-09 2.451369826627650250e-09 4.525426778282677801e-09 7.924300818881915018e-10 1.182765306212593335e-09 1.799885749501688786e-09 3.364586219217016552e-10
-9.954161128379303322e-11 5.693178157683674930e-10 1.062081202806225414e-09 9.037209352210440485e-10 2.324692581752122061e-09 3.963682859599348895e-09 5.624266702202031966e-09 6.893449758696412343e-09 9.113123522042300067e-10 4.241823993379371460e-09 1.420970842468657594e-09 3.200215803758538556e-09 1.025994669334259204e-09
4.358704708662876855e-10 8.905754620440637754e-10 2.595332819869625707e-09 2.767027092752202955e-09 3.249421406250362168e-09 3.478182647213737744e-09 1.358540026923918658e-09 3.084355088419243512e-09 5.235924577394996473e-09 5.336893577791070822e-09 1.887332582976202669e-10 -2.161773064402810728e-09 -4.694281477248536124e-10
6.897823944429438643e-11 7.232712340049405450e-10 4.744185321219238963e-10 1.192683275548063890e-09 6.403608836695521171e-10 1.743628784291706511e-09 2.254259955789855261e-09 4.111955306763355100e-09 4.253873581709651050e-10 -1.312967638884934787e-09 -1.661456508110070334e-10 3.500816778335733743e-10 1.066201705069646689e-09
3.761977893789799067e-12 7.215258095854876588e-11 -2.988152373774403991e-11 2.058576774941278391e-09 2.553319881889069910e-09 2.939676662225153832e-09 1.997640910570294566e-09 2.713276020227996222e-09 5.636604020397504402e-12 -1.763123714939298915e-09 1.889147693202536534e-09 -1.768162404844858227e-09 -5.389220190752695010e-10
-1.579055008405156566e-10 6.620735684602587630e-10 -1.444433400254887530e-10 1.098929921969950589e-09 1.956923690818750399e-09 1.663086288848382720e-09 3.731997857671231717e-09 5.076223553150905041e-09 4.628636216837631410e-09 2.692989027465647172e-10 3.245873065813966387e-09 1.359322592538820967e-09 1.938248148739799261e-09
-5.837049647207527446e-11 6.532009032215809951e-10 1.130206226903258222e-09 7.241795256707454858e-10 5.384153680698266083e-10 2.214527526881722404e-09 2.558649572724017424e-09 2.740716859371819702e-09 1.373867803727308777e-09 2.133053681397314897e-09 4.418091075009780504e-09 5.883492214198728711e-10 2.225066936249612802e-10
1.504197787917805946e-11 4.191319915061531967e-11 8.878420959221165789e-10 3.397080179782627165e-10 -1.481306175212759070e-09 1.424273410685109422e-09 2.304795294422668022e-09 3.798139316339426916e-09 1.430554294296712630e-09 6.952412568912612826e-10 1.106322325202370231e-09 3.338152893947006803e-09 1.792652209464638501e-09
2.062256631176041246e-10 5.734942984787609729e-11 1.387470228207137885e-09 1.688477384593149953e-09 4.432470099895901521e-09 2.709523848033035593e-09 3.889400189395823609e-09 4.468459895142822806e-09 5.349763298988348762e-09 4.335918134995166494e-09 3.585146031918324555e-09 1.969299572639238611e-09 -1.096489332748886114e-10
1.765648712841104806e-11 8.281396215351713066e-11 2.272760007726632133e-10 1.710890321759652685e-09 2.271359074506760904e-09 2.314729581786275976e-09 3.709115254862736993e-09 4.876586351378676077e-09 1.475536678596124936e-09 2.044766456740551159e-09 2.374951387735412481e-09 1.312358560487261701e-09 2.513803562530595594e-10
-1.647883050611316759e-10 -4.515131096942839964e-10 -3.340782427062644407e-10 8.321086253245830978e-10 1.190282177264458852e-09 1.478911707221146683e-09 5.025445644472124961e-09 3.735677100211854163e-09 3.171081208251053553e-09 1.195073411926716626e-09 -3.738193029113491147e-10 -3.563367043887303280e-11 8.597929366278803100e-10
-6.361318313419326145e-11 3.468218744873928406e-10 -9.558277195419407730e-11 4.824552011928823590e-10 2.419470238238823241e-09 1.172040679591016001e-09 2.501085540342964466e-09 6.346601472187978454e-09 5.345956762268761676e-09 2.364456791697589985e-09 7.747364570360378504e-10 -3.247195723927457349e-09 -1.948462448101053892e-10
2.085025300766014328e-11 4.896469328699570397e-10 1.447190581032443716e-10 1.916403460752005432e-09 1.949425870881292251e-09 2.837302422612168277e-09 2.531619081465226820e-09 2.620733318462775211e-09 3.312414160569993681e-09 2.348064584660072929e-09 4.649829568787316213e-09 3.123187242446557428e-09 1.059581453890227549e-09
-1.213298563476217221e-11 -1.695920620448577144e-10 6.080259998037860225e-10 -1.875931873830683560e-10 8.900710626422094451e-10 1.032988423396109284e-09 1.468115080529418852e-09 3.296641000189855952e-09 2.990921254417012362e-09 1.391597670817201293e-09 6.487680922917385205e-10 2.182699070245163630e-09 -1.909716944290575978e-10
5.592913241876314885e-11 3.301442924447272773e-09 3.425103516569058364e-09 -6.412599780979156868e-10 1.293218222678985030e-09 3.801778503562484520e-09 9.568339452803556939e-10 2.968100080474293847e-09 4.232502316576469440e-09 2.680880692106196975e-09 4.201854985196823179e-09 3.430829521037059250e-09 1.008295724460298156e-09
-1.291841045930396349e-11 2.612412114632788667e-10 1.405512203554764136e-09 2.899314039061627904e-09 9.453436888704623974e-10 3.643491675198558828e-09 3.438275268779448335e-09 7.262771314105706813e-09 5.559531861887656913e-09 2.385517456369218610e-09 2.283313614713433742e-09 3.016438607876553531e-09 1.842879201231157118e-09
-1.410121056904831935e-11 2.559110050139096398e-10 1.056016699111674012e-09 2.019094640804273804e-09 3.495437723364244318e-09 2.236528555186722172e-09 1.194232667034716968e-09 1.332449799045000568e-09 1.037382379315315355e-09 -1.251276570212890665e-10 2.564276866833837243e-09 2.013236101955254755e-09 7.144895273486331807e-10
-8.104904531468021543e-11 9.866733568300883482e-11 1.285794430970020692e-09 3.041963880919656122e-09 2.962716286566505727e-09 2.102693561306837878e-09 3.287017462573631385e-09 3.665430868918843688e-09 2.850735617281771960e-09 1.122151056829985879e-09 1.928392122920995321e-09 -3.741406853130283190e-10 -9.520214108063607466e-10
6.397629634966200407e-11 2.981527198152054914e-10 1.163978089736662004e-09 1.585752393321793482e-09 2.530584969633076509e-09 2.843953125321754285e-09 3.958954557245141464e-09 3.687429304620142181e-09 4.765691783346974569e-09 4.457278680654541040e-09 -2.250808455987758082e-10 7.166950832849408210e-10 6.621830427868332944e-10
1.064537089941398715e-10 -4.128661298069635684e-10 9.112793294164765976e-10 7.568093060042925974e-10 1.953766193839417699e-09 1.772356557258727843e-09 2.262377322281902885e-09 5.771210871999493357e-10 4.596442424778923831e-09 2.331614395937861319e-09 2.416580904411282057e-09 1.059127281550126876e-09 8.363740212586568354e-10
3.467500879399475701e-11 6.776545509727460055e-11 -2.377043771812670706e-10 -5.924273674682837486e-11 7.765112801727866089e-10 3.223701122314653567e-09 2.410634246177037652e-09 3.575549183269526694e-09 3.752917451711362981e-09 3.747812905878387768e-09 -1.887326822155628373e-12 -1.053445998171797731e-10 7.254149144499443889e-10
