#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
     2   0.169285E-09   0.467305E-12   0.142317E-08   0.124449E-07   0.467305E-12   0.799834E-14  -0.632626E-11  -0.186047E-11   0.142317E-08  -0.632626E-11   0.477802E-07   0.561088E-06   0.124449E-07  -0.186047E-11   0.561088E-06   0.229962E-04
     3   0.155077E-09   0.582468E-12   0.140290E-08   0.152982E-07   0.582468E-12   0.124442E-13  -0.756990E-11  -0.118385E-11   0.140290E-08  -0.756990E-11   0.580119E-07   0.805174E-06   0.152982E-07  -0.118385E-11   0.805174E-06   0.343644E-04
     4   0.142721E-09   0.592624E-12   0.135863E-08   0.174374E-07   0.592624E-12   0.132539E-13  -0.738701E-11   0.193460E-12   0.135863E-08  -0.738701E-11   0.667914E-07   0.104984E-05   0.174374E-07   0.193460E-12   0.104984E-05   0.462859E-04
     5   0.133391E-09   0.541344E-12   0.130513E-08   0.191091E-07   0.541344E-12   0.110419E-13  -0.622610E-11   0.142430E-11   0.130513E-08  -0.622610E-11   0.743866E-07   0.129362E-05   0.191091E-07   0.142430E-11   0.129362E-05   0.588053E-04
     6   0.126661E-09   0.463066E-12   0.124978E-08   0.204452E-07   0.463066E-12   0.759463E-14  -0.449128E-11   0.237845E-11   0.124978E-08  -0.449128E-11   0.809857E-07   0.153488E-05   0.204452E-07   0.237845E-11   0.153488E-05   0.719115E-04
     7   0.121965E-09   0.379171E-12   0.119605E-08   0.215170E-07   0.379171E-12   0.449755E-14  -0.256383E-11   0.322211E-11   0.119605E-08  -0.256383E-11   0.867694E-07   0.177246E-05   0.215170E-07   0.322211E-11   0.177246E-05   0.855597E-04
     8   0.118740E-09   0.302285E-12   0.114388E-08   0.223841E-07   0.302285E-12   0.249695E-14  -0.781056E-12   0.385773E-11   0.114388E-08  -0.781056E-12   0.918676E-07   0.200582E-05   0.223841E-07   0.385773E-11   0.200582E-05   0.997414E-04
     9   0.116622E-09   0.238472E-12   0.109316E-08   0.230925E-07   0.238472E-12   0.155352E-14   0.602109E-12   0.396851E-11   0.109316E-08   0.602109E-12   0.963874E-07   0.223468E-05   0.230925E-07   0.396851E-11   0.223468E-05   0.114443E-03
    10   0.115361E-09   0.190621E-12   0.104453E-08   0.236574E-07   0.190621E-12   0.124168E-14   0.146209E-11   0.368692E-11   0.104453E-08   0.146209E-11   0.100395E-06   0.245793E-05   0.236574E-07   0.368692E-11   0.245793E-05   0.129579E-03
    11   0.114702E-09   0.159391E-12   0.999765E-09   0.241034E-07   0.159391E-12   0.114069E-14   0.180674E-11   0.369765E-11   0.999765E-09   0.180674E-11   0.103980E-06   0.267615E-05   0.241034E-07   0.369765E-11   0.267615E-05   0.145169E-03
    12   0.114655E-09   0.143588E-12   0.958809E-09   0.244404E-07   0.143588E-12   0.102970E-14   0.171253E-11   0.430360E-11   0.958809E-09   0.171253E-11   0.107148E-06   0.288774E-05   0.244404E-07   0.430360E-11   0.288774E-05   0.161100E-03
    13   0.114922E-09   0.139502E-12   0.922840E-09   0.247062E-07   0.139502E-12   0.879877E-15   0.127848E-11   0.482610E-11   0.922840E-09   0.127848E-11   0.109997E-06   0.309402E-05   0.247062E-07   0.482610E-11   0.309402E-05   0.177424E-03
    14   0.115469E-09   0.142281E-12   0.889095E-09   0.249031E-07   0.142281E-12   0.750451E-15   0.629444E-12   0.443221E-11   0.889095E-09   0.629444E-12   0.112517E-06   0.329354E-05   0.249031E-07   0.443221E-11   0.329354E-05   0.194024E-03
    15   0.116126E-09   0.148855E-12   0.857530E-09   0.250413E-07   0.148855E-12   0.690016E-15  -0.665002E-13   0.339131E-11   0.857530E-09  -0.665002E-13   0.114778E-06   0.348742E-05   0.250413E-07   0.339131E-11   0.348742E-05   0.210937E-03
    16   0.117098E-09   0.157586E-12   0.826754E-09   0.251159E-07   0.157586E-12   0.696183E-15  -0.626957E-12   0.308759E-11   0.826754E-09  -0.626957E-12   0.116785E-06   0.367492E-05   0.251159E-07   0.308759E-11   0.367492E-05   0.228092E-03
    17   0.118356E-09   0.166613E-12   0.797101E-09   0.251384E-07   0.166613E-12   0.733196E-15  -0.974448E-12   0.363594E-11   0.797101E-09  -0.974448E-12   0.118564E-06   0.385616E-05   0.251384E-07   0.363594E-11   0.385616E-05   0.245467E-03
    18   0.119739E-09   0.174511E-12   0.769302E-09   0.251240E-07   0.174511E-12   0.767561E-15  -0.108197E-11   0.461210E-11   0.769302E-09  -0.108197E-11   0.120148E-06   0.403152E-05   0.251240E-07   0.461210E-11   0.403152E-05   0.263055E-03
    19   0.121344E-09   0.181203E-12   0.743146E-09   0.250781E-07   0.181203E-12   0.798573E-15  -0.101073E-11   0.503256E-11   0.743146E-09  -0.101073E-11   0.121548E-06   0.420075E-05   0.250781E-07   0.503256E-11   0.420075E-05   0.280804E-03
    20   0.122946E-09   0.185910E-12   0.718239E-09   0.250031E-07   0.185910E-12   0.834107E-15  -0.833553E-12   0.420695E-11   0.718239E-09  -0.833553E-12   0.122772E-06   0.436360E-05   0.250031E-07   0.420695E-11   0.436360E-05   0.298666E-03
    21   0.124634E-09   0.189996E-12   0.694397E-09   0.248995E-07   0.189996E-12   0.894404E-15  -0.581571E-12   0.317659E-11   0.694397E-09  -0.581571E-12   0.123839E-06   0.452038E-05   0.248995E-07   0.317659E-11   0.452038E-05   0.316637E-03
    22   0.126407E-09   0.194420E-12   0.671542E-09   0.247683E-07   0.194420E-12   0.999268E-15  -0.285505E-12   0.306996E-11   0.671542E-09  -0.285505E-12   0.124772E-06   0.467149E-05   0.247683E-07   0.306996E-11   0.467149E-05   0.334716E-03
    23   0.128210E-09   0.199531E-12   0.649800E-09   0.246144E-07   0.199531E-12   0.114468E-14  -0.161410E-13   0.363250E-11   0.649800E-09  -0.161410E-13   0.125578E-06   0.481691E-05   0.246144E-07   0.363250E-11   0.481691E-05   0.352870E-03
    24   0.130080E-09   0.205477E-12   0.629308E-09   0.244432E-07   0.205477E-12   0.132262E-14   0.154386E-12   0.429188E-11   0.629308E-09   0.154386E-12   0.126264E-06   0.495660E-05   0.244432E-07   0.429188E-11   0.495660E-05   0.371061E-03
    25   0.132034E-09   0.211622E-12   0.610026E-09   0.242578E-07   0.211622E-12   0.152876E-14   0.188612E-12   0.458784E-11   0.610026E-09   0.188612E-12   0.126841E-06   0.509076E-05   0.242578E-07   0.458784E-11   0.509076E-05   0.389283E-03
    26   0.134004E-09   0.218647E-12   0.591851E-09   0.240604E-07   0.218647E-12   0.176086E-14   0.773201E-13   0.426135E-11   0.591851E-09   0.773201E-13   0.127320E-06   0.521962E-05   0.240604E-07   0.426135E-11   0.521962E-05   0.407534E-03
    27   0.136044E-09   0.226173E-12   0.574589E-09   0.238508E-07   0.226173E-12   0.201790E-14  -0.110382E-12   0.374632E-11   0.574589E-09  -0.110382E-12   0.127709E-06   0.534332E-05   0.238508E-07   0.374632E-11   0.534332E-05   0.425789E-03
    28   0.138132E-09   0.232943E-12   0.558070E-09   0.236287E-07   0.232943E-12   0.229680E-14  -0.296280E-12   0.351934E-11   0.558070E-09  -0.296280E-12   0.128016E-06   0.546196E-05   0.236287E-07   0.351934E-11   0.546196E-05   0.444022E-03
    29   0.140258E-09   0.239215E-12   0.542314E-09   0.233979E-07   0.239215E-12   0.259806E-14  -0.444059E-12   0.353484E-11   0.542314E-09  -0.444059E-12   0.128241E-06   0.557542E-05   0.233979E-07   0.353484E-11   0.557542E-05   0.462207E-03
    30   0.142448E-09   0.243692E-12   0.527348E-09   0.231615E-07   0.243692E-12   0.292214E-14  -0.535259E-12   0.362042E-11   0.527348E-09  -0.535259E-12   0.128384E-06   0.568367E-05   0.231615E-07   0.362042E-11   0.568367E-05   0.480323E-03
    31   0.144620E-09   0.247322E-12   0.513032E-09   0.229183E-07   0.247322E-12   0.326433E-14  -0.580948E-12   0.361846E-11   0.513032E-09  -0.580948E-12   0.128458E-06   0.578702E-05   0.229183E-07   0.361846E-11   0.578702E-05   0.498368E-03
