#    L    TT             EE             TE             PP             TP          
    75   0.267941E-09   0.532036E-13  -0.108959E-11   0.722784E-06   0.114970E-08
    76   0.271424E-09   0.551126E-13  -0.115826E-11   0.718806E-06   0.113296E-08
    77   0.274907E-09   0.570442E-13  -0.122811E-11   0.714815E-06   0.111661E-08
    78   0.278396E-09   0.589969E-13  -0.129914E-11   0.710814E-06   0.110064E-08
    79   0.281904E-09   0.609694E-13  -0.137140E-11   0.706806E-06   0.108504E-08
    80   0.285443E-09   0.629602E-13  -0.144496E-11   0.702793E-06   0.106982E-08
    81   0.289020E-09   0.649680E-13  -0.151983E-11   0.698778E-06   0.105497E-08
    82   0.292635E-09   0.669914E-13  -0.159595E-11   0.694763E-06   0.104048E-08
    83   0.296284E-09   0.690290E-13  -0.167327E-11   0.690750E-06   0.102635E-08
    84   0.299968E-09   0.710791E-13  -0.175174E-11   0.686740E-06   0.101257E-08
    85   0.303684E-09   0.731401E-13  -0.183132E-11   0.682736E-06   0.999134E-09
    86   0.307435E-09   0.752105E-13  -0.191195E-11   0.678740E-06   0.986034E-09
    87   0.311218E-09   0.772886E-13  -0.199359E-11   0.674752E-06   0.973261E-09
    88   0.315034E-09   0.793726E-13  -0.207620E-11   0.670775E-06   0.960809E-09
    89   0.318887E-09   0.814610E-13  -0.215975E-11   0.666810E-06   0.948668E-09
    90   0.322779E-09   0.835515E-13  -0.224423E-11   0.662859E-06   0.936830E-09
    91   0.326710E-09   0.856422E-13  -0.232954E-11   0.658922E-06   0.925277E-09
    92   0.330678E-09   0.877312E-13  -0.241563E-11   0.654999E-06   0.913990E-09
    93   0.334682E-09   0.898162E-13  -0.250239E-11   0.651091E-06   0.902950E-09
    94   0.338719E-09   0.918956E-13  -0.258978E-11   0.647198E-06   0.892138E-09
    95   0.342788E-09   0.939672E-13  -0.267768E-11   0.643319E-06   0.881534E-09
    96   0.346886E-09   0.960289E-13  -0.276602E-11   0.639455E-06   0.871121E-09
    97   0.351011E-09   0.980788E-13  -0.285471E-11   0.635607E-06   0.860878E-09
    98   0.355161E-09   0.100115E-12  -0.294365E-11   0.631774E-06   0.850789E-09
    99   0.359334E-09   0.102135E-12  -0.303279E-11   0.627956E-06   0.840852E-09
   100   0.363533E-09   0.104137E-12  -0.312205E-11   0.624155E-06   0.831064E-09
   101   0.367755E-09   0.106120E-12  -0.321139E-11   0.620371E-06   0.821426E-09
   102   0.372003E-09   0.108081E-12  -0.330075E-11   0.616604E-06   0.811936E-09
   103   0.376273E-09   0.110019E-12  -0.339003E-11   0.612855E-06   0.802594E-09
   104   0.380568E-09   0.111931E-12  -0.347920E-11   0.609125E-06   0.793399E-09
   105   0.384885E-09   0.113816E-12  -0.356818E-11   0.605413E-06   0.784351E-09
   106   0.389225E-09   0.115671E-12  -0.365688E-11   0.601721E-06   0.775447E-09
   107   0.393588E-09   0.117497E-12  -0.374526E-11   0.598050E-06   0.766689E-09
   108   0.397970E-09   0.119289E-12  -0.383323E-11   0.594398E-06   0.758075E-09
   109   0.402374E-09   0.121047E-12  -0.392071E-11   0.590768E-06   0.749604E-09
   110   0.406798E-09   0.122768E-12  -0.400765E-11   0.587159E-06   0.741275E-09
   111   0.411242E-09   0.124451E-12  -0.409399E-11   0.583573E-06   0.733088E-09
   112   0.415706E-09   0.126095E-12  -0.417963E-11   0.580009E-06   0.725043E-09
   113   0.420190E-09   0.127697E-12  -0.426453E-11   0.576468E-06   0.717137E-09
   114   0.424692E-09   0.129256E-12  -0.434860E-11   0.572951E-06   0.709371E-09
   115   0.429212E-09   0.130770E-12  -0.443177E-11   0.569458E-06   0.701744E-09
   116   0.433751E-09   0.132239E-12  -0.451399E-11   0.565990E-06   0.694252E-09
   117   0.438306E-09   0.133658E-12  -0.459516E-11   0.562545E-06   0.686894E-09
   118   0.442876E-09   0.135029E-12  -0.467520E-11   0.559125E-06   0.679666E-09
   119   0.447461E-09   0.136349E-12  -0.475406E-11   0.555728E-06   0.672566E-09
   120   0.452060E-09   0.137617E-12  -0.483164E-11   0.552356E-06   0.665591E-09
   121   0.456670E-09   0.138831E-12  -0.490787E-11   0.549007E-06   0.658739E-09
   122   0.461292E-09   0.139990E-12  -0.498269E-11   0.545682E-06   0.652006E-09
   123   0.465923E-09   0.141093E-12  -0.505601E-11   0.542380E-06   0.645390E-09
   124   0.470563E-09   0.142138E-12  -0.512775E-11   0.539102E-06   0.638888E-09
   125   0.475210E-09   0.143125E-12  -0.519785E-11   0.535847E-06   0.632497E-09
   126   0.479864E-09   0.144053E-12  -0.526624E-11   0.532616E-06   0.626215E-09
   127   0.484522E-09   0.144920E-12  -0.533283E-11   0.529407E-06   0.620039E-09
   128   0.489183E-09   0.145725E-12  -0.539756E-11   0.526222E-06   0.613966E-09
   129   0.493848E-09   0.146468E-12  -0.546037E-11   0.523061E-06   0.607993E-09
   130   0.498514E-09   0.147147E-12  -0.552116E-11   0.519922E-06   0.602119E-09
   131   0.503179E-09   0.147762E-12  -0.557989E-11   0.516806E-06   0.596339E-09
   132   0.507844E-09   0.148314E-12  -0.563646E-11   0.513713E-06   0.590651E-09
   133   0.512506E-09   0.148799E-12  -0.569084E-11   0.510643E-06   0.585053E-09
   134   0.517165E-09   0.149220E-12  -0.574293E-11   0.507595E-06   0.579543E-09
   135   0.521819E-09   0.149574E-12  -0.579270E-11   0.504570E-06   0.574118E-09
   136   0.526468E-09   0.149862E-12  -0.584006E-11   0.501569E-06   0.568776E-09
