#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
     2   0.145680E-09   0.445966E-12   0.116678E-08   0.270975E-08   0.445966E-12   0.634037E-14  -0.568735E-11  -0.210146E-11   0.116678E-08  -0.568735E-11   0.532777E-07   0.661126E-07   0.270975E-08  -0.210146E-11   0.661126E-07   0.398884E-06
     3   0.137605E-09   0.539572E-12   0.117051E-08   0.362129E-08   0.539572E-12   0.991892E-14  -0.681408E-11  -0.123168E-11   0.117051E-08  -0.681408E-11   0.647131E-07   0.116958E-06   0.362129E-08  -0.123168E-11   0.116958E-06   0.891541E-06
     4   0.129696E-09   0.543026E-12   0.114687E-08   0.444446E-08   0.543026E-12   0.106792E-13  -0.669543E-11  -0.767755E-13   0.114687E-08  -0.669543E-11   0.745711E-07   0.181065E-06   0.444446E-08  -0.767755E-13   0.181065E-06   0.166270E-05
     5   0.123543E-09   0.494359E-12   0.111167E-08   0.520654E-08   0.494359E-12   0.901034E-14  -0.570126E-11   0.807029E-12   0.111167E-08  -0.570126E-11   0.831381E-07   0.257032E-06   0.520654E-08   0.807029E-12   0.257032E-06   0.276765E-05
     6   0.119132E-09   0.423269E-12   0.107187E-08   0.591782E-08   0.423269E-12   0.628822E-14  -0.418294E-11   0.137039E-11   0.107187E-08  -0.418294E-11   0.906147E-07   0.343472E-06   0.591782E-08   0.137039E-11   0.343472E-06   0.425536E-05
     7   0.116145E-09   0.348208E-12   0.103094E-08   0.657960E-08   0.348208E-12   0.378211E-14  -0.247946E-11   0.170018E-11   0.103094E-08  -0.247946E-11   0.971978E-07   0.439095E-06   0.657960E-08   0.170018E-11   0.439095E-06   0.616804E-05
     8   0.114183E-09   0.279677E-12   0.990323E-09   0.719565E-08   0.279677E-12   0.212339E-14  -0.881833E-12   0.188062E-11   0.990323E-09  -0.881833E-12   0.103029E-06   0.542868E-06   0.719565E-08   0.188062E-11   0.542868E-06   0.854110E-05
     9   0.113162E-09   0.223560E-12   0.950378E-09   0.776976E-08   0.223560E-12   0.131689E-14   0.394151E-12   0.198120E-11   0.950378E-09   0.394151E-12   0.108225E-06   0.653855E-06   0.776976E-08   0.198120E-11   0.653855E-06   0.114076E-04
    10   0.112697E-09   0.181691E-12   0.912338E-09   0.830132E-08   0.181691E-12   0.104108E-14   0.122521E-11   0.205308E-11   0.912338E-09   0.122521E-11   0.112856E-06   0.770871E-06   0.830132E-08   0.205308E-11   0.770871E-06   0.147874E-04
    11   0.112679E-09   0.154440E-12   0.877295E-09   0.879597E-08   0.154440E-12   0.955558E-15   0.158238E-11   0.211926E-11   0.877295E-09   0.158238E-11   0.117022E-06   0.893371E-06   0.879597E-08   0.211926E-11   0.893371E-06   0.187063E-04
    12   0.113153E-09   0.140303E-12   0.844557E-09   0.925125E-08   0.140303E-12   0.870464E-15   0.151423E-11   0.217559E-11   0.844557E-09   0.151423E-11   0.120726E-06   0.102009E-05   0.925125E-08   0.217559E-11   0.102009E-05   0.231710E-04
    13   0.113900E-09   0.136340E-12   0.814796E-09   0.967403E-08   0.136340E-12   0.753453E-15   0.113032E-11   0.221302E-11   0.814796E-09   0.113032E-11   0.124078E-06   0.115083E-05   0.967403E-08   0.221302E-11   0.115083E-05   0.282021E-04
    14   0.114810E-09   0.139380E-12   0.786784E-09   0.100614E-07   0.139380E-12   0.649823E-15   0.572235E-12   0.223499E-11   0.786784E-09   0.572235E-12   0.127066E-06   0.128440E-05   0.100614E-07   0.223499E-11   0.128440E-05   0.337970E-04
    15   0.115896E-09   0.146580E-12   0.760419E-09   0.104187E-07   0.146580E-12   0.601445E-15  -0.190408E-13   0.225716E-11   0.760419E-09  -0.190408E-13   0.129768E-06   0.142064E-05   0.104187E-07   0.225716E-11   0.142064E-05   0.399689E-04
    16   0.117178E-09   0.155676E-12   0.735422E-09   0.107467E-07   0.155676E-12   0.611302E-15  -0.530975E-12   0.227701E-11   0.735422E-09  -0.530975E-12   0.132198E-06   0.155880E-05   0.107467E-07   0.227701E-11   0.155880E-05   0.467140E-04
    17   0.118636E-09   0.165033E-12   0.711514E-09   0.110452E-07   0.165033E-12   0.653441E-15  -0.888080E-12   0.226733E-11   0.711514E-09  -0.888080E-12   0.134357E-06   0.169799E-05   0.110452E-07   0.226733E-11   0.169799E-05   0.540190E-04
    18   0.120134E-09   0.173629E-12   0.688938E-09   0.113187E-07   0.173629E-12   0.700853E-15  -0.105247E-11   0.223039E-11   0.688938E-09  -0.105247E-11   0.136307E-06   0.183824E-05   0.113187E-07   0.223039E-11   0.183824E-05   0.618922E-04
